set,card_id,card,review_status,priority,current_issue,recommended_tactic_signals,recommended_strategy_support_pairs,recommended_target_or_constraints,rationale,stats_bucket
classic,onr_classic_001_data-fort-remapping,Data Fort Remapping,ändern,medium,"Aktuelles Signal `score.action_counter_bank` ist mechanisch falsch/zu unspezifisch: der Counter gibt keine Aktion, sondern beendet einen Run.",score.run_end_counter_bank; run.corp_end_run_counter; defense.corp_run_end_counter,corp.remote_scoring -> defensive_tool/run_end_score_window_protection (medium),kein TargetProfile nötig; Counter-Nutzung ist LegalAction-/Timing-Semantik,"Eine gescorte Agenda mit Run-End-Counter schützt Scorefenster und Remotes, ist aber kein ICE-Tax-Tool. Remote-Scoring-Anker bleibt plausibel, aber nur defensiv.",remote_defense; run_end_counter
classic,onr_classic_002_superserum,Superserum,kleine Änderung,low,Signal trennt Reset und Prävention nicht.,virus.corp_counter_clear; virus.corp_counter_prevention; defense.virus_counter_defense,corp.central_stabilize -> defensive_tool/virus_counter_defense (medium),keins,"Die Karte stabilisiert gegen Virusdruck nach dem Score; sie ist kein Scoring-Payoff. Pair ist inhaltlich okay, sollte aber Clear + Prevention ausdrücklich zeigen.",central_stabilize; virus_defense
classic,onr_classic_004_theorem-proof,Theorem Proof,ändern,high,"`access.runner_program_bounce`, `risk.high_difficulty_agenda` und `score.closeout_agenda` verfehlen die Perspektive. Die Agenda ist für die Corp nicht schwerer zu scoren; der Runner muss einen verzögerten, fragilen Score über MU und Aktion konvertieren.",access.corp_agenda_steal_replacement; access.corp_delayed_agenda_score; access.corp_runner_agenda_program_install; risk.runner_memory_burden; risk.fragile_delayed_score; risk.program_removal_denies_score,corp.remote_scoring -> defensive_tool/agenda_steal_friction_tool (medium),Action-Semantik muss die spätere Runner-Ability `A: Score Theorem Proof` separat erkennen; 2-MU-Programminstallation als spezieller Access-Replacement-Fall.,"Erfolgreicher Access wird nicht sofort zum Score, sondern in eine verwundbare Runner-Installation mit späterer Aktion verschoben. Das ist Steal-Friction, nicht Corp-Score-Closeout.",access_replacement; steal_delay; high_priority
classic,onr_classic_003_unlisted-research-lab,Unlisted Research Lab,ändern,high,`corp.remote_scoring` ist überdehnt. Wiederkehrender Draw ist generische Engine/Support und nicht spezifisch Remote-Scoring.,draw.corp_recurring; score.recurring_draw,"_keine_ (optional deferred: corp.value_engine / corp.draw_engine, falls solche Strategy-ID bewusst eingeführt wird)",keins,Die Karte hilft jeder Corp-Linie nach dem Score. Ohne eigene Draw-/Value-Engine-Strategie sollte sie support-only bleiben; sonst muss Employee Empowerment konsistent auch geankert werden.,draw_engine_candidate; remove_remote_anchor
originalset-v1,onr_v1_188_ai-chief-financial-officer,AI Chief Financial Officer,ändern,medium,"`score.draw` und die Shuffle-Signale sind grob; die Karte ist eine wiederholbare HQ/Archives→R&D-Recycle- und Draw-Ability, aber ohne passende Strategy-ID.",draw.corp_action_draw; hq.corp_hand_to_rnd_shuffle; archives.corp_recycle_to_rnd; rnd.corp_shuffle_recycle,_keine_ (deferred: corp.deck_recycle_engine / corp.value_engine),"Ability-ID wichtig, weil die Aktion aus einer gescorten Agenda kommt.","Starke Engine, aber nicht automatisch Remote, Fast Advance oder Central Stabilize. Als Strategy-Anker nur sinnvoll, wenn eine eigene Deck-Recycle-/Value-Strategie eingeführt wird.",draw_recycle; support_only; taxonomy_gap
originalset-v1,onr_v1_189_artificial-security-directors,Artificial Security Directors,kleine Änderung,low,"Pair ist plausibel, aber Rolle zu generisch und Subtype-Scope sollte nicht als Strategie missverstanden werden.",score.agenda_difficulty_discount; score.black_ops_difficulty_discount,corp.fast_advance -> enabler/black_ops_difficulty_enabler (medium),constraint.only_black_ops_agendas,"Subtype-Difficulty-Reduction erleichtert zukünftige Scores und kann Fast-Advance-/Scorefenster ermöglichen, trägt aber keine Black-Ops-Strategie als solche.",difficulty_discount; fast_advance_enabler
originalset-v1,onr_v1_190_bioweapons-engineering,Bioweapons Engineering,ändern,medium,`engine_anchor` ist weniger präzise als Damage-Amplifier; die Karte erzeugt selbst keinen Schaden.,damage.corp_meat_damage_amplifier; score.meat_damage_amp,corp.damage_kill -> damage_amplifier/meat_damage_amp_anchor (high),keins,"Die Karte macht vorhandene Meat-Damage-Quellen killfähiger, ist aber ohne Quellen unvollständig. DeckDoctrine sollte sie als Amplifier, nicht als Quelle zählen.",damage_kill; amplifier
originalset-v1,onr_v1_191_black-ice-quality-assurance,Black Ice Quality Assurance,kleine Änderung,low,"Inhaltlich gut, aber Scope/Constraint sollte sauber getrennt werden.",ice.corp_strength_bonus; ice.corp_black_ice_strength_bonus; score.black_ice_strength_bonus,corp.ice_tax_glacier -> tax_tool/black_ice_tax_anchor (high),"constraint.only_black_ice; kein TargetProfile, weil statischer globaler Buff",Globaler Stärke-Buff auf Black ICE trägt ICE-Tax/Glacier. Kein Damage-Anker nur wegen Black-Ice-Kontext.,ice_tax; subtype_constraint
originalset-v1,onr_v1_192_corporate-boon,Corporate Boon,ändern,medium,"`score.action_gain` ist okay, aber Action-Economy sollte nicht unter Economy landen und als potenzieller Tempo-Cluster sichtbar sein.",action.corp_counter_bank; action.corp_extra_action; score.action_counter_bank; limit.once_per_turn,_keine_ (deferred: corp.action_tempo / corp.score_tempo),Self/counter cashout; keine echte Zielwahl,"Vier banked extra actions sind stark, aber ohne dokumentierte Corp-Tempo-Strategy kein Fast-Advance- oder Remote-Anker. Extra Actions können Scores unterstützen, sind aber nicht automatisch Strategie.",action_tempo_candidate; support_only
originalset-v1,onr_v1_193_corporate-coup,Corporate Coup,kleine Änderung,low,Support-only ist richtig; Signalnamen sollten Credit-Economy statt generisches Agenda-Action betonen.,economy.corp_counter_bank; economy.corp_counter_cashout_action; score.economy_counter_bank; score.agenda_action,_keine_,Self/counter cashout,"Banked Credits nach Score sind starke Economy, aber reine Economy erzeugt keinen Strategieanker.",economy; support_only
